ts_code,symbol,name,industry
002102.SZ,002102,冠福股份,化学制药
002103.SZ,002103,广博股份,文教休闲
002104.SZ,002104,恒宝股份,通信设备
002105.SZ,002105,信隆健康,摩托车
002106.SZ,002106,莱宝高科,元器件
002107.SZ,002107,沃华医药,中成药
002108.SZ,002108,沧州明珠,塑料
002109.SZ,002109,兴化股份,化工原料
002110.SZ,002110,三钢闽光,普钢
002111.SZ,002111,威海广泰,航空
002112.SZ,002112,三变科技,电气设备
002114.SZ,002114,罗平锌电,铅锌
002115.SZ,002115,三维通信,互联网
002116.SZ,002116,中国海诚,建筑工程
002117.SZ,002117,东港股份,广告包装
002119.SZ,002119,康强电子,半导体
002120.SZ,002120,韵达股份,仓储物流
002121.SZ,002121,科陆电子,电器仪表
002122.SZ,002122,汇洲智能,机械基件
002123.SZ,002123,梦网科技,互联网
002124.SZ,002124,天邦食品,农业综合
002125.SZ,002125,湘潭电化,化工原料
002126.SZ,002126,银轮股份,汽车配件
002127.SZ,002127,南极电商,互联网
002128.SZ,002128,电投能源,铝
002129.SZ,002129,TCL中环,电气设备
002130.SZ,002130,沃尔核材,电气设备
002131.SZ,002131,利欧股份,互联网
002132.SZ,002132,恒星科技,钢加工
002133.SZ,002133,广宇集团,全国地产
002134.SZ,002134,天津普林,元器件
002135.SZ,002135,东南网架,钢加工
002136.SZ,002136,安纳达,化工原料
002137.SZ,002137,实益达,元器件
002138.SZ,002138,顺络电子,元器件
002139.SZ,002139,拓邦股份,元器件
002140.SZ,002140,东华科技,建筑工程
002141.SZ,002141,贤丰控股,农业综合
002142.SZ,002142,宁波银行,银行
002144.SZ,002144,宏达高科,纺织
002145.SZ,002145,中核钛白,化工原料
002146.SZ,002146,荣盛发展,全国地产
002148.SZ,002148,北纬科技,互联网
002149.SZ,002149,西部材料,小金属
002150.SZ,002150,通润装备,机械基件
002151.SZ,002151,北斗星通,通信设备
002152.SZ,002152,广电运通,IT设备
002153.SZ,002153,石基信息,软件服务
002154.SZ,002154,报喜鸟,服饰
002155.SZ,002155,湖南黄金,黄金
002156.SZ,002156,通富微电,半导体
002157.SZ,002157,*ST正邦,农业综合
002158.SZ,002158,汉钟精机,工程机械
002159.SZ,002159,三特索道,旅游服务
